Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
1990 to 1995,188,55-59,12,6,6,11,6,5,
1990 to 1995,188,60-64,7,4,3,8,6,2,
1990 to 1995,188,65-69,6,3,3,3,2,1,
1990 to 1995,188,70-74,2,1,1,3,1,2,
1990 to 1995,188,75-79,2,1,1,2,1,1,
1990 to 1995,188,80-84,1,0,1,1,0,1,
1990 to 1995,188,85-89,2,1,1,2,1,1,
1990 to 1995,188,90+,1,1,0,0,0,0,
1990 to 1995,195,Total,351,191,160,388,215,173,
1990 to 1995,195,0-4,37,21,16,38,20,18,
1990 to 1995,195,5-9,31,16,15,34,18,16,
1990 to 1995,195,10-14,21,10,11,25,13,12,
1990 to 1995,195,15-19,17,9,8,23,12,11,
1990 to 1995,195,20-24,39,19,20,46,21,25,
1990 to 1995,195,25-29,45,26,19,47,29,18,
1990 to 1995,195,30-34,46,25,21,41,22,19,
1990 to 1995,195,35-39,35,20,15,37,23,14,
1990 to 1995,195,40-44,26,16,10,30,18,12,
1990 to 1995,195,45-49,22,13,9,21,12,9,
1990 to 1995,195,50-54,12,6,6,18,11,7,
1990 to 1995,195,55-59,7,4,3,11,6,5,
1990 to 1995,195,60-64,5,4,1,10,6,4,
1990 to 1995,195,65-69,2,1,1,3,2,1,
1990 to 1995,195,70-74,2,1,1,2,1,1,
1990 to 1995,195,75-79,1,0,1,2,1,1,
1990 to 1995,195,80-84,1,0,1,0,0,0,
1990 to 1995,195,85-89,1,0,1,0,0,0,
1990 to 1995,195,90+,1,0,1,0,0,0,
1990 to 1995,198,Total,983,559,424,1014,565,449,
1990 to 1995,198,0-4,112,63,49,105,60,45,
1990 to 1995,198,5-9,82,39,43,88,42,46,
1990 to 1995,198,10-14,81,42,39,79,35,44,
1990 to 1995,198,15-19,68,38,30,87,46,41,
1990 to 1995,198,20-24,90,47,43,98,54,44,
1990 to 1995,198,25-29,98,55,43,90,46,44,
1990 to 1995,198,30-34,102,58,44,97,57,40,
1990 to 1995,198,35-39,96,60,36,95,56,39,
1990 to 1995,198,40-44,82,49,33,86,51,35,
1990 to 1995,198,45-49,65,40,25,62,36,26,
1990 to 1995,198,50-54,45,29,16,53,34,19,
1990 to 1995,198,55-59,30,19,11,30,21,9,
1990 to 1995,198,60-64,16,10,6,23,14,9,
1990 to 1995,198,65-69,9,6,3,11,6,5,
1990 to 1995,198,70-74,4,3,1,5,4,1,
1990 to 1995,198,75-79,2,1,1,3,2,1,
1990 to 1995,198,80-84,1,0,1,2,1,1,
1990 to 1995,198,85-89,0,0,0,0,0,0,
1990 to 1995,198,90+,0,0,0,0,0,0,
1990 to 1995,220,Total,1058,570,488,1122,611,511,
1990 to 1995,220,0-4,112,59,53,103,57,46,
1990 to 1995,220,5-9,82,43,39,97,52,45,
1990 to 1995,220,10-14,69,36,33,87,46,41,
1990 to 1995,220,15-19,69,34,35,78,37,41,
1990 to 1995,220,20-24,119,59,60,121,59,62,
1990 to 1995,220,25-29,132,74,58,131,74,57,
1990 to 1995,220,30-34,132,73,59,134,76,58,
1990 to 1995,220,35-39,110,63,47,114,63,51,
1990 to 1995,220,40-44,81,47,34,84,49,35,
1990 to 1995,220,45-49,53,29,24,61,34,27,
1990 to 1995,220,50-54,30,19,11,39,23,16,
1990 to 1995,220,55-59,24,13,11,33,19,14,
1990 to 1995,220,60-64,15,9,6,20,13,7,
1990 to 1995,220,65-69,9,4,5,9,5,4,
1990 to 1995,220,70-74,9,4,5,4,2,2,
1990 to 1995,220,75-79,4,1,3,2,1,1,
1990 to 1995,220,80-84,2,1,1,1,0,1,
1990 to 1995,220,85-89,4,1,3,2,1,1,
1990 to 1995,220,90+,2,1,1,2,0,2,
1990 to 1995,230,Total,122,64,58,114,59,55,
1990 to 1995,230,0-4,9,5,4,8,3,5,
1990 to 1995,230,5-9,7,4,3,9,5,4,
1990 to 1995,230,10-14,10,6,4,8,5,3,
1990 to 1995,230,15-19,9,5,4,9,4,5,
1990 to 1995,230,20-24,12,6,6,16,8,8,
1990 to 1995,230,25-29,16,8,8,14,7,7,
1990 to 1995,230,30-34,13,8,5,14,7,7,
1990 to 1995,230,35-39,14,6,8,12,5,7,
1990 to 1995,230,40-44,10,4,6,9,4,5,
1990 to 1995,230,45-49,8,5,3,5,4,1,
1990 to 1995,230,50-54,6,3,3,4,3,1,
1990 to 1995,230,55-59,4,3,1,4,3,1,
1990 to 1995,230,60-64,2,1,1,2,1,1,
1990 to 1995,230,65-69,1,0,1,0,0,0,
1990 to 1995,230,70-74,0,0,0,0,0,0,
1990 to 1995,230,75-79,1,0,1,0,0,0,
1990 to 1995,230,80-84,0,0,0,0,0,0,
1990 to 1995,230,85-89,0,0,0,0,0,0,
1990 to 1995,230,90+,0,0,0,0,0,0,
1990 to 1995,240,Total,777,420,357,762,420,342,
1990 to 1995,240,0-4,90,43,47,79,44,35,
1990 to 1995,240,5-9,77,39,38,69,38,31,
1990 to 1995,240,10-14,77,44,33,60,35,25,
1990 to 1995,240,15-19,65,35,30,74,36,38,
1990 to 1995,240,20-24,61,31,30,87,43,44,
1990 to 1995,240,25-29,64,33,31,71,41,30,
1990 to 1995,240,30-34,87,48,39,76,38,38,
1990 to 1995,240,35-39,74,39,35,65,38,27,
1990 to 1995,240,40-44,55,30,25,52,30,22,
1990 to 1995,240,45-49,44,29,15,44,26,18,
1990 to 1995,240,50-54,37,21,16,30,17,13,
1990 to 1995,240,55-59,15,9,6,17,12,5,
1990 to 1995,240,60-64,14,10,4,18,12,6,
1990 to 1995,240,65-69,7,4,3,7,4,3,
1990 to 1995,240,70-74,4,3,1,5,4,1,
1990 to 1995,240,75-79,2,1,1,2,1,1,
1990 to 1995,240,80-84,2,1,1,4,1,3,
1990 to 1995,240,85-89,1,0,1,1,0,1,
1990 to 1995,240,90+,1,0,1,1,0,1,
1990 to 1995,275,Total,337,181,156,332,179,153,
1990 to 1995,275,0-4,30,14,16,34,18,16,
1990 to 1995,275,5-9,31,16,15,30,16,14,
1990 to 1995,275,10-14,24,11,13,25,11,14,
1990 to 1995,275,15-19,19,9,10,27,11,16,
1990 to 1995,275,20-24,28,15,13,38,20,18,
1990 to 1995,275,25-29,38,19,19,31,19,12,
1990 to 1995,275,30-34,39,23,16,27,13,14,
1990 to 1995,275,35-39,33,18,15,33,19,14,
1990 to 1995,275,40-44,25,15,10,27,16,11,
1990 to 1995,275,45-49,24,13,11,17,10,7,
1990 to 1995,275,50-54,17,11,6,16,11,5,
1990 to 1995,275,55-59,13,8,5,9,5,4,
1990 to 1995,275,60-64,6,5,1,8,4,4,
1990 to 1995,275,65-69,4,3,1,5,4,1,
1990 to 1995,275,70-74,3,0,3,2,1,1,
1990 to 1995,275,75-79,2,1,1,2,1,1,
1990 to 1995,275,80-84,1,0,1,0,0,0,
1990 to 1995,275,85-89,0,0,0,1,0,1,
1990 to 1995,275,90+,0,0,0,0,0,0,
1990 to 1995,282,Total,114,66,48,107,60,47,
1990 to 1995,282,0-4,16,8,8,10,5,5,
1990 to 1995,282,5-9,10,6,4,7,2,5,
1990 to 1995,282,10-14,10,5,5,9,5,4,
1990 to 1995,282,15-19,8,5,3,5,4,1,
1990 to 1995,282,20-24,9,5,4,14,7,7,
1990 to 1995,282,25-29,11,5,6,9,5,4,
1990 to 1995,282,30-34,10,6,4,12,7,5,
1990 to 1995,282,35-39,14,8,6,9,5,4,
1990 to 1995,282,40-44,11,6,5,11,7,4,
1990 to 1995,282,45-49,5,4,1,8,4,4,
1990 to 1995,282,50-54,4,3,1,3,2,1,
1990 to 1995,282,55-59,3,3,0,5,4,1,
1990 to 1995,282,60-64,1,1,0,2,1,1,
1990 to 1995,282,65-69,1,1,0,1,1,0,
1990 to 1995,282,70-74,1,0,1,2,1,1,
1990 to 1995,282,75-79,0,0,0,0,0,0,
1990 to 1995,282,80-84,0,0,0,0,0,0,
1990 to 1995,282,85-89,0,0,0,0,0,0,
1990 to 1995,282,90+,0,0,0,0,0,0,
1990 to 1995,290,Total,746,422,324,889,485,404,
1990 to 1995,290,0-4,88,44,44,102,50,52,
1990 to 1995,290,5-9,65,31,34,80,38,42,
1990 to 1995,290,10-14,56,31,25,65,35,30,
1990 to 1995,290,15-19,58,33,25,80,40,40,
1990 to 1995,290,20-24,62,34,28,84,42,42,
1990 to 1995,290,25-29,77,43,34,85,45,40,
1990 to 1995,290,30-34,78,47,31,82,47,35,
1990 to 1995,290,35-39,75,47,28,82,48,34,
1990 to 1995,290,40-44,58,33,25,74,44,30,
1990 to 1995,290,45-49,44,28,16,52,33,19,
1990 to 1995,290,50-54,27,16,11,32,21,11,
1990 to 1995,290,55-59,22,14,8,19,11,8,
1990 to 1995,290,60-64,13,8,5,16,10,6,
1990 to 1995,290,65-69,10,6,4,12,8,4,
1990 to 1995,290,70-74,5,4,1,8,5,3,
1990 to 1995,290,75-79,2,1,1,7,4,3,
1990 to 1995,290,80-84,4,1,3,4,3,1,
1990 to 1995,290,85-89,2,1,1,4,1,3,
1990 to 1995,290,90+,0,0,0,1,0,1,
1985 to 1990,000,Total,41978,22598,19380,49866,26657,23209,
1985 to 1990,000,0-4,4886,2558,2328,6174,3149,3025,
1985 to 1990,000,5-9,3794,1958,1836,4499,2313,2186,
1985 to 1990,000,10-14,3119,1646,1473,3449,1805,1644,
1985 to 1990,000,15-19,3194,1616,1578,3673,1897,1776,
1985 to 1990,000,20-24,6021,3153,2868,5776,2970,2806,
1985 to 1990,000,25-29,6220,3378,2842,6698,3589,3109,
1985 to 1990,000,30-34,4921,2743,2178,5899,3193,2706,
1985 to 1990,000,35-39,3600,2098,1502,4623,2598,2025,
1985 to 1990,000,40-44,2185,1279,906,3082,1777,1305,
1985 to 1990,000,45-49,1366,788,578,2039,1159,880,
1985 to 1990,000,50-54,853,484,369,1386,802,584,
1985 to 1990,000,55-59,613,341,272,1055,604,451,
1985 to 1990,000,60-64,442,231,211,757,424,333,
1985 to 1990,000,65-69,304,139,165,360,191,169,
1985 to 1990,000,70-74,193,88,105,181,91,90,
1985 to 1990,000,75-79,123,44,79,101,48,53,
1985 to 1990,000,80-84,83,31,52,60,25,35,
1985 to 1990,000,85-89,46,18,28,40,15,25,
1985 to 1990,000,90+,15,5,10,14,7,7,
